column,row,value,qnode
,,DT.COM.OFFT.CD,P110147
,,DT.COM.PRVT.CD,P110148
,,DT.CUR.DMAK.ZS,P110149
,,DT.CUR.EURO.ZS,P110150
,,DT.CUR.FFRC.ZS,P110151
,,DT.CUR.JYEN.ZS,P110152
,,DT.CUR.MULC.ZS,P110153
,,DT.CUR.OTHC.ZS,P110154
,,DT.CUR.SDRW.ZS,P110155
,,DT.CUR.SWFR.ZS,P110156
,,DT.CUR.UKPS.ZS,P110157
,,DT.CUR.USDL.ZS,P110158
,,DT.DFR.DPPG.CD,P110159
,,DT.DIS.BLAT.CD,P110160
,,DT.DIS.BLTC.CD,P110161
,,DT.DIS.DIMF.CD,P110162
,,DT.DIS.DLTF.CD,P110163
,,DT.DIS.DLXF.CD,P110164
,,DT.DIS.DPNG.CD,P110165
,,DT.DIS.DPPG.CD,P110166
,,DT.DIS.IDAG.CD,P110167
,,DT.DIS.MIBR.CD,P110168
,,DT.DIS.MIDA.CD,P110169
,,DT.DIS.MLAT.CD,P110170
,,DT.DIS.MLTC.CD,P110171
,,DT.DIS.OFFT.CD,P110172
,,DT.DIS.PBND.CD,P110173
,,DT.DIS.PCBK.CD,P110174
,,DT.DIS.PNGB.CD,P110175
,,DT.DIS.PNGC.CD,P110176
,,DT.DIS.PROP.CD,P110177
,,DT.DIS.PRVT.CD,P110178
,,DT.DOD.ALLC.CD,P110179
,,DT.DOD.ALLC.ZS,P110180
,,DT.DOD.BLAT.CD,P110181
,,DT.DOD.BLTC.CD,P110182
,,DT.DOD.DECT.CD,P110183
,,DT.DOD.DECT.CD.CG,P110184
,,DT.DOD.DECT.EX.ZS,P110185
,,DT.DOD.DECT.GN.ZS,P110186
,,DT.DOD.DIMF.CD,P110187
,,DT.DOD.DLXF.CD,P110188
,,DT.DOD.DPNG.CD,P110189
,,DT.DOD.DPPG.CD,P110190
,,DT.DOD.DSTC.CD,P110191
,,DT.DOD.DSTC.IR.ZS,P110192
,,DT.DOD.DSTC.XP.ZS,P110193
,,DT.DOD.DSTC.ZS,P110194
,,DT.DOD.MDRI.CD,P110195
,,DT.DOD.MIBR.CD,P110196
,,DT.DOD.MIDA.CD,P110197
,,DT.DOD.MLAT.CD,P110198
,,DT.DOD.MLAT.ZS,P110199
,,DT.DOD.MLTC.CD,P110200
,,DT.DOD.MWBG.CD,P110201
,,DT.DOD.OFFT.CD,P110202
,,DT.DOD.PBND.CD,P110203
,,DT.DOD.PCBK.CD,P110204
,,DT.DOD.PNGB.CD,P110205
,,DT.DOD.PNGC.CD,P110206
,,DT.DOD.PROP.CD,P110207
,,DT.DOD.PRVS.CD,P110208
,,DT.DOD.PRVT.CD,P110209
,,DT.DOD.PUBS.CD,P110210
,,DT.DOD.PVLX.CD,P110211
,,DT.DOD.PVLX.EX.ZS,P110212
,,DT.DOD.PVLX.GN.ZS,P110213
,,DT.DOD.RSDL.CD,P110214
,,DT.DOD.VTOT.CD,P110215
,,DT.DSB.DPPG.CD,P110216
,,DT.DSF.DPPG.CD,P110217
,,DT.DXR.DPPG.CD,P110218
,,DT.GPA.DPPG,P110219
,,DT.GPA.OFFT,P110220
